name,website,email,phone,address,programs
Al Estedama Al Khadhra Environmental Skill Training,https://tec.gov.ae/en/,shajoon22@gmail.com,97142176297,Office 25-205 Owner Building Properties Oud Metha,"Management Training; Construction, Mechanical and the Built Environment Skills Training"
Al Fayhaa Institute Professional & Management Development Training L.L.C,https://tec.gov.ae/en/,info@alfayha.ae,45850638,Al Kazim Group Bldg. Off# A 126,Educators' Professional Training; Social and Behavioural Training; Sales and Marketing Training; Management Training; Business and Secretarial Training; Media Production Training; Hospitality and Tourism Training; Hair Stylist Training; Beauty Care Training
Al Futtaim Automotive Talent Centre (Br Of Al Futtaim Automotive Single Person Company LLC.),https://tec.gov.ae/en/,ali.kamran@alfuttaim.com,97147063010,Al Futtaim Building,"Educators' Professional Training; Sales and Marketing Training; Accounting and Finance Training; Management Training; Business and Secretarial Training; Computer Skills Training; Language Training; Educational Consultancies; Construction, Mechanical and the Built Environment Skills Training"
Al Hira Education Institute,https://tec.gov.ae/en/,englisheducation2020@gmail.com,97143980201,"Trade Center 1, Off# 802",Language Training; Arts and Crafts Skills Training; Examination Preparation; Media Production Training
Al Maha Gulf Technical & Occupational Skills Training L.L.C,https://tec.gov.ae/en/,haris.azher@hotmail.com,97165675286,"First gulf business center, 2nd floor, Madina Mall",Computer Skills Training; Occupational Safety and Firefighting Training
Al Mawred Training Institute,https://tec.gov.ae/en/,info@almawrededu.ae,97142216779,"Damas tower, OFFICE NO: 204",Sales and Marketing Training; Accounting and Finance Training; Management Training; Business and Secretarial Training; Hospitality and Tourism Training
AL MONITOR CONSULTING AND TRAINING EST.,https://tec.gov.ae/en/,yalhanaee@gmail.com,97144444444,Al Sharif Building2 NAIF-OFFICE NO 237,Career Cotching for Operation's Employee; Train the Trainer
Al Mubdioon Skills Development Center L.L.C,https://tec.gov.ae/en/,GHINAKT@GMAIL.COM,97142664405,133-232,Educators' Professional Training; Management Training; Child Skills Development Centre
Al Naeem Professional & Management Development Training,https://tec.gov.ae/en/,dr.myossef@hotmail.com,971561446373,Concord Tower Office - 1206,"Social and Behavioural Training; power of word and thinking; attraction law applications; penetration of the energetic fields; merit code; universal code; power of love; Magic of certainty; secrets of bliss; self confidence; Achieving goals; comunicating with people; Marital happiness; joyful studing tips; Dealing with fears; enjoyment work field; powerful and easy life; success addictor; the power of Piety; ??????? ??????; Abandon the pain, reach the joy; Spotlight; be revived.. come alive; Synchronize"
Al Omran For Training And Language Training (Br Of Al Omran For Training And Developing - L.L.C )(Dubai Br),https://tec.gov.ae/en/,training@alomran-td.ae,97137635440,Office # M07-M08-M09 Building- Bena Business Center.,Educators' Professional Training; Social and Behavioural Training; Accounting and Finance Training; Management Training; Business and Secretarial Training; Computer Skills Training; Language Training; Examination Preparation; Media Production Training; Garment Design Training; Hair Stylist Training
Al Osman Language Training CO.,https://tec.gov.ae/en/,javeedqq@gmail.com,971505447654,"Shop # 3, Building Name - Abdullah Al Sharhan",Management Training; Business and Secretarial Training; Computer Skills Training; Language Training; Child Skills Development Centre
Al Qada Almatmayozon Training Institute L.L.C,https://tec.gov.ae/en/,info@leadersinstitutes.com,97145762606,Bu Haliba State 1 Bulding office 105,"Educators' Professional Training; Social and Behavioural Training; Sales and Marketing Training; Accounting and Finance Training; Legal Training; Management Training; Business and Secretarial Training; Computer Skills Training; Language Training; Educational Consultancies; Examination Preparation; Media Production Training; Hospitality and Tourism Training; Hair Stylist Training; Occupational Safety and Firefighting Training; Architecture and Design Training; Construction, Mechanical and the Built Environment Skills Training; Child Skills Development Centre"
Al Qouz Language Training Center L.L.C.,https://tec.gov.ae/en/,languagealqouz313@gmail.com,971569853697,"Eiffel Tower Garden #4, Off# 102",Language Training; Arabic language for beginner; Arabic language for Intermediate
Al Raqam Educationl Service Llc,https://tec.gov.ae/en/,dubai-motorcity@mathnasium.com,97144542707,Apex atrium building,Child Skills Development Centre; Mathimatics Level 1; Mathimatics Level 2; Mathimatics Level 3; Mathimatics Level 4; Mathimatics Level 5; Mathimatics Level 6; Mathimatics Level 7; Mathimatics Level 8; Mathimatics Level 9; Mathimatics Level 10; Mathnasium Level 11 - High School Mathasium Materials
Al Roufaida Occupational Skills Institute L.L.C,https://tec.gov.ae/en/,rofia1887@gmail.com,971506728977,ABDULRAHMAN HASSAN BUILDING OFFICE N 211_2,Educators' Professional Training; Hospitality and Tourism Training; Garment Design Training; Beauty Care Training
Al Salam Cultural Institute,https://tec.gov.ae/en/,hamdi321@hotmail.com,97143944641,API Business Suites - Shiekh Zayed road,Business and Secretarial Training; Computer Skills Training; Language Training; Testing Centre; Examination Preparation
Al Salam Cultural Institute (Branch),https://tec.gov.ae/en/,ibrahim@alsalam-institute.com,97142899688,"Al Qyada Bldg., Off# 207",Educators' Professional Training; Social and Behavioural Training; Sales and Marketing Training; Accounting and Finance Training; Insurance Training; Legal Training; Management Training; Business and Secretarial Training; Language Training
Al Salama Fire Safety Training LLC,https://tec.gov.ae/en/,zishan@alsalama.ae,97142637479,"?14 9b St., Building 1 - Al Qouz 3","Healthcare and Awareness Training; Construction, Mechanical and the Built Environment Skills Training"
Al Shabaka Technical Institutional Academy,https://tec.gov.ae/en/,info@astiacademy.ac.ae,97142809955,"Al Qusais -2 , villa no 29","Educators' Professional Training; Sales and Marketing Training; Accounting and Finance Training; Legal Training; Management Training; Computer Skills Training; Language Training; Examination Preparation; Hospitality and Tourism Training; Architecture and Design Training; Construction, Mechanical and the Built Environment Skills Training; Child Skills Development Centre; Specialized Professional Institute"
Al Tanmya Almustdama Training Institute L.L.C,https://tec.gov.ae/en/,ceo@altanmya-almustdama.ae,97143968887,Dubai - AL garhoud - Arcade building - office 205,"Educators' Professional Training; Social and Behavioural Training; Sales and Marketing Training; Accounting and Finance Training; Insurance Training; Legal Training; Management Training; Business and Secretarial Training; Computer Skills Training; Language Training; Examination Preparation; Media Production Training; Hospitality and Tourism Training; Garment Design Training; Beauty Care Training; Healthcare and Awareness Training; Occupational Safety and Firefighting Training; Security Training; Architecture and Design Training; Construction, Mechanical and the Built Environment Skills Training"
Al Tief Educational Institute FZ-LLC,https://tec.gov.ae/en/,info@aeidubai.ae,97145525811,"Dubai Knowledge Park, Block 13, ground floor ,office G26",Examination Preparation; Exam Preparation for  IELTS; Exam Preparation in TOEFL
Al Towar Scientific & Cultural Institute,https://tec.gov.ae/en/,altwarinstitute@gmail.com,97142630616,"Qusais Bldg, Block B, Office 101\102\103",Educators' Professional Training; Social and Behavioural Training; Sales and Marketing Training; Accounting and Finance Training; Management Training; Business and Secretarial Training; Computer Skills Training; Language Training; Examination Preparation; Media Production Training; Occupational Safety and Firefighting Training
Alaa Mohra For Professional & Management Development Training Co. L.L.C,https://tec.gov.ae/en/,engmohra@gmail.com,97143327207,"Office # 902-85, Building - N G I BUILDING, Deira, Dubai, UAE",Sales and Marketing Training; Management Training; Business and Secretarial Training; Computer Skills Training
Alabakera Development Training Institute L.L.C,https://tec.gov.ae/en/,nada1dxb2024@gmail.com,97141234567,"Deira-ALmarrar, Office 103, 196","Educators' Professional Training; Social and Behavioural Training; Sales and Marketing Training; Accounting and Finance Training; Insurance Training; Legal Training; Management Training; Business and Secretarial Training; Language Training; Arts and Crafts Skills Training; Media Production Training; Hospitality and Tourism Training; Healthcare and Awareness Training; Occupational Safety and Firefighting Training; Security Training; Construction, Mechanical and the Built Environment Skills Training"
Alameed Occupational Training Center,https://tec.gov.ae/en/,alameedcoffeeuae@gmail.com,97142366575,,Hospitality and Tourism Training; Course of roasting and brewing coffee
Alaweer Language Training Center,https://tec.gov.ae/en/,markazalaweer@gmail.com,97145466965,R1008-1,Language Training; ARABIC  LANGUAGE TRAINING; ENGLISH LANGUAGE TRAINING; Malayalam Language Training
Albasaer Management Development Training,https://tec.gov.ae/en/,actconsulting090@gmail.com,971502688075,Villa# 263,Social and Behavioural Training; Behavioral Economics and Nudging; The Science of Everyday Thinking; Behavioral Insights for Public Policy; Applying Behavioral Insights to Policy; Nudging for Good: Behavioral Public Policy; Behavioral Government; Consumer Behavior and Behavioral Economics; The Psychology of Persuasion; Neuromarketing and Behavioral Economics; Behavioral Science for Leaders; Decision Making and Behavioral Economics; Influencing Human Behavior at Work; Advanced Behavioral Economics; Experimental Psychology and Behavioral Insights; Cognitive Biases and Decision Making; Behavioral Insights: Professional Skills; Training Diploma in Applied Behavioral Science; Behavioral Design Course; Behavioral Economics and Policy Design; Nudge Theory; Training Diploma in Behavioral Economics and Policy Design; Training Diploma in Applied Behavior Analysis (ABA); Training Diploma in Behavioral Psychology; Training Diploma in Behavioral Insight and Behavior Change; Training Diploma in Behavioral Marketing; Training Diploma in Organizational Behavior and Human Resource Management; Training Diploma in Behavioral Science and Public Health; Training Diploma in Behavioral Design; Training Diploma in Leadership and Behavioral Influence
Albeqsha Training,https://tec.gov.ae/en/,info@alBeqsha.ae,971547677664,Villa owned by Fahad Ali Qayed Ali,Arts and Crafts Skills Training; Garment Design Training; Child Skills Development Centre
AlByan Institute Education Support Services L.L.C,https://tec.gov.ae/en/,info@albyaninstitute.org,97143931889,"Business Avenue, M05","Educators' Professional Training; Social and Behavioural Training; Sales and Marketing Training; Accounting and Finance Training; Legal Training; Management Training; Business and Secretarial Training; Computer Skills Training; Language Training; Examination Preparation; Media Production Training; Healthcare and Awareness Training; Occupational Safety and Firefighting Training; Security Training; Construction, Mechanical and the Built Environment Skills Training; Specialized Professional Institute"
ALDAR Academy For Vocational Education,https://tec.gov.ae/en/,info@aldar.ac.ae,97142826880,Al Gaizi Plaza,"Educators' Professional Training; Social and Behavioural Training; Sales and Marketing Training; Accounting and Finance Training; Management Training; Business and Secretarial Training; Computer Skills Training; Language Training; Examination Preparation; Media Production Training; Garment Design Training; Beauty Care Training; Architecture and Design Training; Construction, Mechanical and the Built Environment Skills Training; Specialized Professional Institute"
